condition,symptoms
Chiari malformation,"headaches – these are usually felt at the back of the head and may be brought on or made worse by coughing, straining, sneezing or bending over, neck pain, dizziness and balance problems, muscle weakness, numbness or tingling in the arms or legs, blurred vision, double vision and sensitivity to light, swallowing problems, hearing loss and tinnitus, feeling and being sick, difficulty sleeping (insomnia) and clinical depression"
Cholera,"having lots of watery diarrhoea, feeling sick or being sick, tummy pain, dehydration"
Cholera,"severe watery diarrhoea, vomiting, stomach cramps, dehydration, dry mouth, and feeling dizzy"
Cholera,"constant watery diarrhoea, nausea, vomiting, abdominal pain, rapid heart rate, and sunken eyes"
Cholera,"frequent watery stools, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"lots of watery diarrhoea, stomach cramps, nausea, vomiting, dry mouth, and feeling faint"
Cholera,"severe diarrhoea, vomiting, dehydration, rapid weight loss, muscle weakness, and low blood pressure"
Cholera,"watery diarrhoea, vomiting, abdominal pain, dehydration, dry mouth, and feeling very thirsty"
Cholera,"constant diarrhoea, nausea, vomiting, stomach cramps, dehydration, and feeling extremely weak"
Cholera,"frequent watery stools, vomiting, dehydration, muscle cramps, dry mouth, and rapid breathing"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, dry skin, and feeling very tired"
Cholera,"watery diarrhoea, stomach cramps, nausea, vomiting, dehydration, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry mouth, and rapid heart rate"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry skin, and feeling faint"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and low blood pressure"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling very weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholera,"watery diarrhoea, stomach cramps, vomiting, dehydration, rapid breathing, and feeling dizzy"
Cholera,"lots of diarrhoea, vomiting, dehydration, muscle cramps, dry skin, and feeling very tired"
Cholera,"constant watery stools, vomiting, dehydration, abdominal pain, dry mouth, and rapid heart rate"
Cholera,"severe diarrhoea, vomiting, dehydration, sunken eyes, muscle weakness, and feeling faint"
Cholera,"frequent watery diarrhoea, nausea, vomiting, dehydration, dry mouth, and feeling extremely weak"
Cholesteatoma,"a persistent or recurring watery, often smelly, discharge from the ear, which can come and go or may be continuous, a gradual loss of hearing in the affected ear"
Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),"feeling extremely tired all the time (fatigue), which can make daily activities like taking a shower, or going to work or school, difficult, sleep problems, including insomnia, sleeping too much, feeling like you have not slept properly and feeling exhausted or stiff when you wake up, problems with thinking, concentration and memory (brain fog), symptoms getting worse after physical or mental activity, and possibly taking weeks to get better (also called post-exertional malaise, or PEM)"
Chronic kidney disease,"tiredness, swollen ankles, feet or hands, shortness of breath, feeling sick, blood in your pee (urine)"
Chronic obstructive pulmonary disease (COPD),"shortness of breath, particularly when you're active, a persistent chesty cough with phlegm – some people may dismiss this as just a ""smoker's cough"", frequent chest infections, persistent wheezing"
Cirrhosis,"feel very tired and weak, feel sick (nausea), lose your appetite, lose weight and muscle mass, get red patches on your palms and small, spider-like blood vessels on your skin (spider angiomas) above waist level"
Creutzfeldt-Jakob disease,"loss of intellect and memory, changes in personality, loss of balance and co-ordination, slurred speech, vision problems and blindness, abnormal jerking movements, progressive loss of brain function and mobility"
Claustrophobia,"sweating, trembling, hot flushes or chills, shortness of breath or difficulty breathing, a choking sensation, a rapid heartbeat (tachycardia), chest pain or a feeling of tightness in the chest, a sensation of butterflies in the stomach, feeling sick, headaches and dizziness, feeling faint, numbness or pins and needles, a dry mouth, a need to go to the toilet, ringing in your ears, feeling confused or disorientated"
Coeliac disease,"diarrhoea, which may smell particularly unpleasant, stomach aches, bloating and farting (flatulence), indigestion, constipation"
Coronary heart disease,"chest pain (angina), shortness of breath, pain in your neck, shoulders, jaw or arms, feeling faint, feeling sick (nausea)"
Crohn's disease,"diarrhoea, stomach aches and cramps, blood in your poo, tiredness (fatigue), weight loss"
Cushing's syndrome,"increased fat on your chest and tummy, but slim arms and legs, a build-up of fat on the back of your neck and shoulders, known as a ""buffalo hump"", a red, puffy, rounded face"
Cyclospora,"diarrhoea, loss of appetite and weight loss, stomach cramps, bloating and farting, tiredness, feeling sick, muscle aches"
Cystic fibrosis,"recurring chest infections, wheezing, coughing, shortness of breath and damage to the airways (bronchiectasis), difficulty putting on weight and growing, yellowing of the skin and the whites of the eyes (jaundice), diarrhoea, constipation, or large, smelly poo, a bowel obstruction in newborn babies (meconium ileus) – surgery may be needed"
Cytomegalovirus (CMV),"a high temperature, aching muscles, tiredness, a skin rash, feeling sick, a sore throat, swollen glands"
Frontotemporal dementia,"personality and behaviour changes – acting inappropriately or impulsively, appearing selfish or unsympathetic, neglecting personal hygiene, overeating, or loss of motivation, language problems – speaking slowly, struggling to make the right sounds when saying a word, getting words in the wrong order, or using words incorrectly, problems with mental abilities – getting distracted easily, struggling with planning and organisation, memory problems – these only tend to occur later on, unlike more common forms of dementia, such as Alzheimer's disease"
Vascular dementia,"slowness of thought, difficulty with planning and understanding, problems with concentration, changes to your mood, personality or behaviour, feeling disoriented and confused, difficulty walking and keeping balance, symptoms of Alzheimer's disease, such as problems with memory and language (many people with vascular dementia also have Alzheimer's disease)"
Dementia with Lewy bodies,"hallucinations and hearing voices – seeing, hearing or smelling things that are not there, problems with understanding, thinking, memory and judgement – this is similar to Alzheimer's disease, although memory may be less affected in people with dementia with Lewy bodies, confusion or sleepiness – this can change over minutes or hours, slow movement, stiff limbs and tremors (uncontrollable shaking), disturbed sleep, often with violent movements and shouting out, fainting spells, unsteadiness and falls, depression and anxiety"
Dengue,"a high temperature, a severe headache, pain behind your eyes, muscle and joint pain, feeling or being sick, swollen glands, a blotchy rash made up of flat or slightly raised spots – this can affect large areas of your body"
Dengue,"a high temperature, a severe headache, pain behind the eyes, muscle and joint pain, feeling nauseous, swollen glands, and a blotchy rash covering large areas of the body"
Dengue,"fever, intense headache, pain behind the eyes, severe muscle and joint pain, vomiting, swollen lymph nodes, and a widespread rash with flat or raised spots"
Dengue,"high fever, throbbing headache, eye pain, muscle aches, joint stiffness, nausea, swollen glands, and a red or purple rash on the skin"
Dengue,"fever, severe headache, pain behind the eyes, muscle soreness, joint stiffness, vomiting, swollen glands, and a rash that covers large parts of the body"
Dengue,"high temperature, pounding headache, eye discomfort, muscle pain, joint pain, feeling sick, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle aches, joint pain, nausea, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, severe headache, eye pain, muscle soreness, joint stiffness, vomiting, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle and joint pain, nausea, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, severe headache, eye discomfort, muscle aches, joint pain, feeling nauseous, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle soreness, joint stiffness, vomiting, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, pounding headache, eye pain, muscle aches, joint pain, nausea, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, severe headache, pain behind the eyes, muscle and joint pain, feeling sick, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, intense headache, eye discomfort, muscle soreness, joint stiffness, vomiting, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle aches, joint pain, nausea, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, severe headache, eye pain, muscle soreness, joint stiffness, feeling nauseous, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle and joint pain, vomiting, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, pounding headache, eye discomfort, muscle aches, joint pain, nausea, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, severe headache, pain behind the eyes, muscle soreness, joint stiffness, feeling sick, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, intense headache, eye pain, muscle aches, joint pain, vomiting, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle and joint pain, nausea, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, severe headache, eye discomfort, muscle soreness, joint stiffness, feeling nauseous, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle aches, joint pain, vomiting, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, pounding headache, eye pain, muscle soreness, joint stiffness, nausea, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, severe headache, pain behind the eyes, muscle and joint pain, feeling sick, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, intense headache, eye discomfort, muscle aches, joint pain, vomiting, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle soreness, joint stiffness, nausea, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, severe headache, eye pain, muscle aches, joint pain, feeling nauseous, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle and joint pain, vomiting, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, pounding headache, eye discomfort, muscle soreness, joint stiffness, nausea, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, severe headache, pain behind the eyes, muscle aches, joint pain, feeling sick, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, intense headache, eye pain, muscle soreness, joint stiffness, vomiting, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle and joint pain, nausea, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, severe headache, eye discomfort, muscle aches, joint pain, feeling nauseous, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle soreness, joint stiffness, vomiting, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, pounding headache, eye pain, muscle aches, joint pain, nausea, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, severe headache, pain behind the eyes, muscle and joint pain, feeling sick, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, intense headache, eye discomfort, muscle soreness, joint stiffness, vomiting, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle aches, joint pain, nausea, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, severe headache, eye pain, muscle soreness, joint stiffness, feeling nauseous, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle and joint pain, vomiting, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, pounding headache, eye discomfort, muscle aches, joint pain, nausea, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, severe headache, pain behind the eyes, muscle soreness, joint stiffness, feeling sick, swollen glands, and a rash that spreads across the body"
Dengue,"high fever, intense headache, eye pain, muscle aches, joint pain, vomiting, swollen lymph nodes, and a widespread rash with red or purple spots"
Dengue,"fever, throbbing headache, pain behind the eyes, muscle and joint pain, nausea, swollen glands, and a rash that covers large areas of the skin"
Dengue,"high temperature, severe headache, eye discomfort, muscle soreness, joint stiffness, feeling nauseous, swollen lymph nodes, and a blotchy rash with flat or raised spots"
Dengue,"fever, intense headache, pain behind the eyes, muscle aches, joint pain, vomiting, swollen glands, and a rash that spreads across the body"
Gestational diabetes,"increased thirst, needing to pee more often than usual, a dry mouth, tiredness, blurred eyesight, genital itching or thrush"
Diabetic retinopathy,"gradually worsening vision, sudden vision loss, shapes floating in your field of vision (floaters), blurred or patchy vision, eye pain or redness, difficulty seeing in the dark"
DiGeorge syndrome (22q11 deletion),"learning and behaviour problems – including delays in learning to walk or talk, learning disabilities and problems such as attention deficit hyperactivity disorder (ADHD) or autism, speech and hearing problems – including temporary hearing loss due to frequent ear infections, being slow to start talking and having a ""nasal-sounding"" voice, mouth and feeding problems – including a gap in the top of the mouth or lip (cleft lip or palate), difficulty feeding and sometimes bringing food back up through the nose, heart problems – some children and adults have heart defects from birth (congenital heart disease), hormone problems – underdeveloped parathyroid glands produce too little parathyroid hormone (hypoparathyroidism), which can lead to problems such as shaking (tremors) and seizures (fits)"
Diphtheria,"a thick grey-white coating that may cover the back of your throat, nose and tongue, a high temperature (fever), sore throat, swollen glands in your neck, difficulty breathing and swallowing"
Discoid eczema,"the patches oozing a lot of fluid, a yellow crust developing over the patches, the skin around the patches becoming hot, swollen and tender or painful, feeling sick, feeling hot or shivery, feeling unwell"
Dissociative disorders,"feeling disconnected from yourself and the world around you, forgetting about certain time periods, events and personal information, feeling uncertain about who you are, having multiple distinct identities, feeling little or no physical pain"
Diverticular disease and diverticulitis,"pain in the lower left side of your tummy (abdomen) – a small number of people get pain on the right side, tummy pain that gets worse after you eat, and gets better after you poo or fart, constipation, diarrhoea, blood in your poo, bloating"
DVT (deep vein thrombosis),"throbbing pain in 1 leg (rarely both legs), usually in the calf or thigh, when walking or standing up, swelling in 1 leg (rarely both legs), warm skin around the painful area, red or darkened skin around the painful area – this may be harder to see on brown or black skin, swollen veins that are hard or sore when you touch them"
Dyspraxia (developmental co-ordination disorder) in adults,"your co-ordination, balance and movement, how you learn new skills, think, and remember information at work and home, your daily living skills, such as dressing or preparing meals, your ability to write, type, draw and grasp small objects, how you function in social situations, how you deal with your emotions, time management, planning and personal organisation skills"
Earwax build-up,"hearing loss, earache or a feeling that your ears are blocked, ringing or buzzing in your ears (tinnitus), vertigo (feeling dizzy and sick)"
Ebola virus disease,"being sick, diarrhoea and tummy pain, a skin rash, yellowing of the skin and eyes, blood in your poo, lots of bruises all over your body, bleeding from your ears, eyes, nose or mouth"
Ebola virus disease,"experiencing a high fever, intense muscle pain, and fatigue, accompanied by a severe headache and sore throat that makes it difficult to swallow"
Ebola virus disease,"sudden onset of fever, significant weakness, abdominal pain, and anorexia, along with severe diarrhea and vomiting"
Ebola virus disease,"presenting with fatigue, loss of appetite, and a severe headache, which has progressed to nausea, vomiting, and a maculopapular rash"
Ebola virus disease,"initially felt like the flu with fever and body aches, but now experiencing severe abdominal pain, watery diarrhea, and nausea"
Ebola virus disease,"experiencing muscle pain, fatigue, and a persistent headache, followed by a sore throat, chest pain, and difficulty breathing"
Ebola virus disease,"started with a fever and headache, and now has bloody diarrhea, vomiting blood, and unexplained bruising all over the body"
Ebola virus disease,"weakness and fatigue, loss of appetite, severe vomiting, and abdominal pain, alongside the development of jaundice"
Ebola virus disease,"high fever, headache, and muscle pain that rapidly progressed to confusion, disorientation, and internal and external bleeding"
Ebola virus disease,"experiencing a high fever, severe headache, and fatigue, accompanied by red eyes, a skin rash, and constant hiccups"
Ebola virus disease,"began with flu-like symptoms, including fever and muscle aches, but now suffering from severe nausea, diarrhea, and difficulty breathing"
Ebola virus disease,"exhibiting symptoms of intense fatigue, muscle pain, and loss of appetite, along with disorientation, seizures, and signs of kidney failure"
Ebola virus disease,"presenting with a severe headache, high fever, and extreme weakness, complicated by chest pain, shortness of breath, and bloody stools"
Ebola virus disease,"experiencing a sudden fever, intense weakness, and muscle pain, accompanied by a sore throat, difficulty swallowing, and red eyes"
Ebola virus disease,"showing symptoms of fatigue, abdominal pain, and difficulty breathing, along with a severe headache, confusion, and a widespread rash"
Ebola virus disease,"started with a fever, aches, and pains, but now has severe vomiting, diarrhea, and unexplained bleeding from the gums and nose"
Ebola virus disease,"presenting with a high fever, severe headache, and extreme exhaustion, complicated by disorientation, seizures, and coma"
Ebola virus disease,"experiencing muscle pain, fatigue, and loss of appetite, along with a severe sore throat, chest pain, and difficulty breathing"
Ebola virus disease,"showing symptoms of intense fatigue, severe abdominal pain, and constant vomiting, accompanied by confusion and internal bleeding"
Ebola virus disease,"started with a fever and headache, but now has severe diarrhea, vomiting blood, and unexplained bruising all over the body"
Ebola virus disease,"presenting with weakness, fatigue, loss of appetite, severe vomiting, and abdominal pain, alongside the development of jaundice and a skin rash"
Ebola virus disease,"experiencing a sudden fever, intense weakness, and muscle pain, accompanied by a sore throat, difficulty swallowing, and red eyes, along with a widespread rash and internal bleeding"
Ebola virus disease,"showing symptoms of fatigue, severe abdominal pain, and difficulty breathing, along with a severe headache, confusion, a widespread rash, and signs of organ failure"
Ebola virus disease,"started with a fever, aches, and pains, but now has severe vomiting, diarrhea, unexplained bleeding from the gums and nose, and signs of shock"
Ebola virus disease,"presenting with a high fever, severe headache, and extreme exhaustion, complicated by disorientation, seizures, coma, and multiple organ failure"
Ebola virus disease,"experiencing muscle pain, fatigue, and loss of appetite, along with a severe sore throat, chest pain, difficulty breathing, and signs of kidney and liver damage"
Ebola virus disease,"showing symptoms of intense fatigue, severe abdominal pain, and constant vomiting, accompanied by confusion, internal bleeding, and signs of neurological problems"
Ebola virus disease,"started with a fever and headache, but now has severe diarrhea, vomiting blood, unexplained bruising all over the body, and signs of internal organ damage"
Ebola virus disease,"presenting with weakness, fatigue, loss of appetite, severe vomiting, and abdominal pain, alongside the development of jaundice, a skin rash, and signs of kidney and liver failure"
Ebola virus disease,"experiencing a sudden fever, intense weakness, and muscle pain, accompanied by a sore throat, difficulty swallowing, red eyes, a widespread rash, internal bleeding, and signs of multiple organ failure"
Ebola virus disease,"showing symptoms of fatigue, severe abdominal pain, and difficulty breathing, along with a severe headache, confusion, a widespread rash, signs of organ failure, and neurological complications"
Ebola virus disease,"started with a fever, aches, and pains, but now has severe vomiting, diarrhea, unexplained bleeding from the gums and nose, signs of shock, and neurological symptoms"
Ebola virus disease,"presenting with a high fever, severe headache, and extreme exhaustion, complicated by disorientation, seizures, coma, multiple organ failure, and severe bleeding"
Ebola virus disease,"experiencing a sudden fever and intense weakness, accompanied by muscle pain, headache, and a sore throat that makes it difficult to swallow, along with vomiting, diarrhea, and a rash"
Ebola virus disease,"showing initial symptoms of fatigue and loss of appetite, progressing to severe abdominal pain, nausea, and vomiting, along with a high fever and difficulty breathing"
Ebola virus disease,"presenting with a severe headache, body aches, and extreme fatigue, accompanied by a sore throat, red eyes, and a skin rash that is spreading rapidly"
Ebola virus disease,"started with flu-like symptoms including fever and muscle aches, now experiencing severe internal and external bleeding, confusion, and difficulty breathing"
Ebola virus disease,"exhibiting a combination of high fever, intense weakness, muscle pain, and a persistent headache, alongside severe diarrhea, vomiting, and unexplained bruising"
Ebola virus disease,"presenting with symptoms of disorientation, seizures, and coma, accompanied by high fever, severe headache, and extreme exhaustion, as well as signs of kidney and liver failure"
Ebola virus disease,"experiencing muscle pain, fatigue, and loss of appetite, accompanied by severe sore throat, chest pain, difficulty breathing, and neurological symptoms"
Ebola virus disease,"showing intense fatigue, severe abdominal pain, and constant vomiting, accompanied by confusion, internal bleeding, signs of neurological problems, and organ failure"
Ebola virus disease,"experiencing a sudden fever and intense weakness, accompanied by muscle pain, headache, a sore throat, vomiting, diarrhea and rash, and bleeding from multiple sites"
Ebola virus disease,"showing initial symptoms of fatigue and loss of appetite, progressing to severe abdominal pain, nausea, vomiting, a high fever, difficulty breathing and jaundice"
Ebola virus disease,"presenting with a severe headache, body aches, and extreme fatigue, accompanied by a sore throat, red eyes, a spreading skin rash, confusion and seizures"
Ebola virus disease,"started with flu-like symptoms, now experiencing severe internal and external bleeding, confusion, difficulty breathing, organ failure and coma"
Ebola virus disease,"exhibiting a combination of high fever, intense weakness, muscle pain, persistent headache, severe diarrhea, vomiting, unexplained bruising and jaundice"
Ebola virus disease,"presenting with symptoms of disorientation, seizures, coma, high fever, headache, exhaustion, kidney failure, liver failure and severe bleeding"
Ebola virus disease,"experiencing muscle pain, fatigue, loss of appetite, severe sore throat, chest pain, difficulty breathing, neurological symptoms and multiple organ failure"
Ebola virus disease,"showing intense fatigue, severe abdominal pain, constant vomiting, confusion, internal bleeding, neurological problems, organ failure and shock"
Ebola virus disease,"experiencing a sudden fever, intense weakness, muscle pain, headache, sore throat, vomiting, diarrhea, rash, bleeding, confusion and organ failure"
Ebola virus disease,"showing initial fatigue and appetite loss, progressing to severe abdominal pain, nausea, vomiting, high fever, difficulty breathing, jaundice and neurological issues"
Ebola virus disease,"presenting with severe headache, body aches, fatigue, sore throat, red eyes, spreading rash, confusion, seizures, bleeding and multiple organ failure"
Ebola virus disease,"experiencing high fever, fatigue, muscle pain, severe headache, sore throat, vomiting, diarrhea, rash, internal and external bleeding and difficulty breathing"
Ebola virus disease,"reporting sudden onset of fever, intense weakness, muscle pain, severe headache and sore throat followed by vomiting, diarrhea, rash and bleeding"
Ebola virus disease,"complaining of initial symptoms including fatigue, loss of appetite, headache and abdominal pain progressing to nausea, vomiting, diarrhea and severe dehydration"
Ebola virus disease,"showing symptoms of disorientation, seizures and coma, high fever, severe headache and exhaustion, as well as kidney failure, liver failure and severe bleeding"
Ebola virus disease,"experiencing muscle pain, fatigue and loss of appetite along with severe sore throat, chest pain and difficulty breathing as well as kidney and liver damage"
Ebola virus disease,"demonstrating symptoms of intense fatigue, severe abdominal pain and constant vomiting accompanied by confusion, internal bleeding, neurological problems and organ failure"
Ebola virus disease,"initially experiencing fever and body aches, now with severe vomiting, diarrhea, unexplained bleeding from gums and nose and signs of shock"
Ebola virus disease,"exhibiting weakness, fatigue, loss of appetite, severe vomiting, and abdominal pain along with jaundice, skin rash, kidney and liver failure"
Ebola virus disease,"presenting with high fever and intense weakness accompanied by muscle pain, headache, sore throat, vomiting, diarrhea, widespread rash, internal bleeding and multiple organ failure"
Ebola virus disease,"demonstrating fatigue, severe abdominal pain and difficulty breathing, along with severe headache, confusion, widespread rash, organ failure, and neurological complications"
Ebola virus disease,"reporting fever, aches, and pains, with severe vomiting, diarrhea, unexplained bleeding from gums and nose, signs of shock, and neurological symptoms"
Ebola virus disease,"experiencing high fever, severe headache, extreme exhaustion, disorientation, seizures, coma, multiple organ failure, and severe bleeding"
Ebola virus disease,"showing muscle pain, fatigue, loss of appetite, severe sore throat, chest pain, difficulty breathing, and kidney and liver damage"
Ebola virus disease,"reporting intense fatigue, severe abdominal pain, constant vomiting, confusion, internal bleeding, neurological problems, organ failure and shock"
Ebola virus disease,"experiencing sudden fever, intense weakness, muscle pain, headache, sore throat, vomiting, diarrhea, rash, bleeding, confusion and organ failure"
Ebola virus disease,"showing initial fatigue and appetite loss, progressing to severe abdominal pain, nausea, vomiting, high fever, difficulty breathing, jaundice and neurological issues"
Ebola virus disease,"experiencing severe headache, body aches, fatigue, sore throat, red eyes, spreading rash, confusion, seizures, bleeding and multiple organ failure"
Ebola virus disease,"reporting high fever, fatigue, muscle pain, severe headache, sore throat, vomiting, diarrhea, rash, internal and external bleeding and difficulty breathing"
Ectopic pregnancy,"a missed period and other signs of pregnancy, tummy pain low down on one side, vaginal bleeding or a brown watery discharge, pain in the tip of your shoulder, discomfort when peeing or pooing"
Varicose eczema,"itchy and swollen, dry and flaky, scaly, crusty or blistered"
